Judge,Office,Total Dispositions,Tot,Decisions,Awards,Denials,Fully Favorable,Partially Favorable
"Beatty, Gregory M",AKRON OH,378,378,308,120,188,92,28
"Ciccolini, Thomas A",AKRON OH,457,457,392,286,106,265,21
"Goodrich, Paula J",AKRON OH,312,312,273,145,128,110,35
"Hajjar, Joseph G",AKRON OH,112,310,89,28,61,26,2
"Kearney, Keith J",AKRON OH,93,262,80,31,49,28,3
"Kidd, M. S",AKRON OH,277,277,217,106,111,96,10
"Leibowitz, Tracey B",AKRON OH,2,375,2,0,2,0,0
"Lohr, Mary",AKRON OH,368,368,309,168,141,131,37
"Ma, Catherine",AKRON OH,23,184,17,5,12,4,1
"Raeber, Jeffrey",AKRON OH,344,344,279,134,145,121,13
"Sheehe, Barbara",AKRON OH,121,121,106,55,51,36,19
"Shinn, Charles",AKRON OH,439,439,391,188,203,178,10
"Smoot, Susan",AKRON OH,205,205,173,110,63,81,29
"Black-Pennington, Dale",ALBANY,357,357,296,205,91,177,28
"Farrell, John G",ALBANY,250,250,218,136,82,123,13
"Kelly, Paul F",ALBANY,342,342,281,224,57,208,16
"LeCours, Brian",ALBANY,445,445,367,189,178,145,44
"Marcus, Michelle S",ALBANY,195,195,156,105,51,93,12
"Neumann, David F",ALBANY,261,381,206,126,80,113,13
"Patane, Arthur",ALBANY,360,360,296,179,117,164,15
"Sparks, Mary",ALBANY,269,269,213,167,46,151,16
"Stephan, Carl E",ALBANY,426,426,360,220,140,201,19
"Wright, Robert",ALBANY,326,326,272,203,69,167,36
"Ballengee, Ben",ALBUQUERQUE,15,255,15,7,8,7,0
"Burke, James A",ALBUQUERQUE,475,475,407,360,47,324,36
"Farris, Ann",ALBUQUERQUE,284,284,234,119,115,85,34
"Fernandez Rice, Myriam C",ALBUQUERQUE,127,418,104,47,57,40,7
"Lindsay, Michelle K",ALBUQUERQUE,325,325,271,157,114,117,40
"O'Melinn, Barry",ALBUQUERQUE,131,394,106,54,52,48,6
"Pardo, Raul C",ALBUQUERQUE,128,322,100,68,32,34,34
"Richter, Lillian",ALBUQUERQUE,225,225,177,92,85,71,21
"Rolph, John W",ALBUQUERQUE,87,95,69,41,28,40,1
"Simmons, D'Lisa",ALBUQUERQUE,1,442,0,0,0,0,0
"Upshall Jr, Frederick",ALBUQUERQUE,441,441,390,236,154,220,16
"Weiss, Eric",ALBUQUERQUE,399,399,354,157,197,122,35
"Allen, Matthew",ALEXANDRIA,497,497,414,224,190,193,31
"Cravens, Steven L",ALEXANDRIA,411,411,349,199,150,180,19
"DeLoach, Rowena E",ALEXANDRIA,303,303,248,140,108,121,19
"Fields, Kim A",ALEXANDRIA,509,509,411,154,257,107,47
"Graalmann, Steven C",ALEXANDRIA,177,177,146,73,73,64,9
"Grant, Robert",ALEXANDRIA,369,369,299,170,129,161,9
"Latham, Carol L",ALEXANDRIA,305,305,240,82,158,69,13
"Molinar, Kathleen S",ALEXANDRIA,350,350,294,161,133,124,37
"Ragona, Lawrence T",ALEXANDRIA,409,409,333,101,232,75,26
"Smilie, Carolyn",ALEXANDRIA,263,263,211,69,142,63,6
"Wahlder, Michael M",ALEXANDRIA,42,42,28,21,7,18,3
"Hebda, Paul T",ANCHORAGE AK,227,227,157,46,111,28,18
"LaCara, Cecilia",ANCHORAGE AK,257,257,194,70,124,49,21
"Alexander, Kyle C",ATLANTA DOWNTOWN,319,324,247,115,132,90,25
"Bryant, Leroy C",ATLANTA DOWNTOWN,377,377,315,258,57,222,36
"Colarusso, Todd S",ATLANTA DOWNTOWN,2,419,2,1,1,1,0
"Cornick-Craig, Karen A",ATLANTA DOWNTOWN,388,388,318,160,158,140,20
"Dabreu, O. Lisa",ATLANTA DOWNTOWN,3,3,2,1,1,1,0
"Dula, Melinda L",ATLANTA DOWNTOWN,359,359,290,157,133,125,32
"Embree, Glenn M",ATLANTA DOWNTOWN,328,328,266,239,27,228,11
"Flanagan, Brendan F",ATLANTA DOWNTOWN,175,175,115,25,90,23,2
"Flowers, Nikki A",ATLANTA DOWNTOWN,285,285,193,113,80,108,5
"Glendening, Jr., Dale D",ATLANTA DOWNTOWN,133,133,121,42,79,25,17
"Hughes, F. J",ATLANTA DOWNTOWN,336,336,263,139,124,113,26
"Jackson, Jr., Robert T",ATLANTA DOWNTOWN,292,292,242,181,61,175,6
"McMichael, Carla",ATLANTA DOWNTOWN,347,347,234,126,108,109,17
"Murray, S. Charles",ATLANTA DOWNTOWN,449,449,362,241,121,203,38
"Palenske, Robin R",ATLANTA DOWNTOWN,334,334,257,146,111,121,25
"Siegrist, Harry E",ATLANTA DOWNTOWN,224,224,136,92,44,91,1
"Bedell, Laurie A",ATLANTA NORTH,332,395,261,144,117,115,29
"Boren, Curtis R",ATLANTA NORTH,326,326,271,150,121,133,17
"Childs, J. S",ATLANTA NORTH,337,337,264,169,95,161,8
"Colarusso, Todd S",ATLANTA NORTH,417,419,347,182,165,145,37
"Ehlenbeck, Steven J",ATLANTA NORTH,288,288,220,99,121,80,19
"Hart, Melinda K",ATLANTA NORTH,6,281,4,4,0,4,0
"Lamb, John S",ATLANTA NORTH,334,334,263,161,102,155,6
"Littlefield, Suzanne A",ATLANTA NORTH,275,275,168,80,88,69,11
"McCully, Richard P",ATLANTA NORTH,310,310,264,226,38,202,24
"McGrath, Frederick",ATLANTA NORTH,376,376,286,188,98,178,10
"Spivey, Verley J",ATLANTA NORTH,393,393,341,230,111,215,15
"Waitsman, Frederick R",ATLANTA NORTH,75,83,57,42,15,39,3
"Williams, Barry L",ATLANTA NORTH,274,274,214,144,70,132,12
"Wurm, David R",ATLANTA NORTH,25,367,4,1,3,1,0
"Applewhite, Francine L",BALTIMORE,71,316,57,19,38,16,3
"Ball, Gary",BALTIMORE,278,287,189,108,81,96,12
"Bland, Carrie",BALTIMORE,54,54,53,25,28,19,6
"Carlos, Tierney",BALTIMORE,155,253,123,55,68,43,12
"Cheney, Clark S",BALTIMORE,21,21,6,2,4,2,0
"Clark, W.",BALTIMORE,49,49,28,21,7,19,2
"Edwards, Donna M",BALTIMORE,302,302,228,130,98,99,31
"Emerson, Andrew M",BALTIMORE,3,302,2,1,1,1,0
"Farnes, Milagros",BALTIMORE,293,293,243,188,55,169,19
"Forrest-Doyle, Mary",BALTIMORE,181,214,139,95,44,84,11
"Harris, L.",BALTIMORE,274,274,199,131,68,126,5
"Kotval, Raghav",BALTIMORE,29,29,14,9,5,9,0
"Kuperman, Frances P",BALTIMORE,243,243,180,127,53,111,16
"Maley, Susan",BALTIMORE,3,277,3,2,1,2,0
"McBarnette, Andrea",BALTIMORE,170,209,104,63,41,57,6
"Mittleman, Vivian W",BALTIMORE,206,206,154,105,49,88,17
"Neely, Donald K",BALTIMORE,303,337,201,130,71,118,12
"Olmscheid, Melvin G",BALTIMORE,334,334,236,135,101,127,8
"Ortis, Jesus",BALTIMORE,23,23,14,8,6,6,2
"Rawald, Douglas M",BALTIMORE,210,210,164,64,100,52,12
"Self, Leisha",BALTIMORE,19,19,13,8,5,7,1
"Ulan, Janice",BALTIMORE,258,258,191,132,59,113,19
"Weyn, Leslie",BALTIMORE,109,137,95,44,51,25,19
"Young, Robert W",BALTIMORE,370,370,258,111,147,83,28
"Arkoosh, John C",BILLINGS,92,92,80,51,29,46,5
"Brennan, Luke A",BILLINGS,392,415,273,142,131,125,17
"Dvarishkis, Tanya",BILLINGS,162,162,140,99,41,88,11
"Hartford, Lloyd E",BILLINGS,179,179,130,40,90,32,8
"Inama, Christopher R",BILLINGS,379,385,261,83,178,79,4
"Kelley, Michele M",BILLINGS,269,269,204,49,155,40,9
"Kilroy, Michael A",BILLINGS,431,431,368,181,187,147,34
"Marchioro, Stephen",BILLINGS,100,310,78,18,60,12,6
"Opp, Richard A",BILLINGS,287,287,228,148,80,143,5
"Pugrud, Jessica H",BILLINGS,192,192,167,118,49,100,18
"Willis, David",BILLINGS,310,310,231,125,106,88,37
"Brown, Cynthia W",BIRMINGHAM,366,366,303,202,101,183,19
"Brownfield, Michael L",BIRMINGHAM,265,265,223,155,68,142,13
"Cooper, Jr., L. K",BIRMINGHAM,246,246,203,147,56,146,1
"Copeland, Denise A",BIRMINGHAM,312,312,260,145,115,131,14
"Hagler, Renee B",BIRMINGHAM,378,378,313,143,170,137,6
"Helmer, Mary E",BIRMINGHAM,19,445,12,6,6,6,0
"Horton, David L",BIRMINGHAM,343,343,275,148,127,119,29
"Johnson, Lisa M",BIRMINGHAM,283,283,227,133,94,113,20
"Kraft, Emilie",BIRMINGHAM,37,392,24,13,11,11,2
"Lawson, William",BIRMINGHAM,393,393,333,273,60,262,11
"MacKenzie, Bruce W",BIRMINGHAM,377,377,314,86,228,76,10
"Martin, Perry",BIRMINGHAM,454,454,370,160,210,154,6
"Merchant, George W",BIRMINGHAM,422,422,367,136,231,110,26
"Munford, Jerome L",BIRMINGHAM,289,289,246,98,148,95,3
"Ostrander, Jack F",BIRMINGHAM,61,61,52,23,29,22,1
"Reeves, Ronald",BIRMINGHAM,275,275,211,89,122,72,17
"Stephens, David L",BIRMINGHAM,72,72,67,44,23,43,1
"Vincent, Jill Lolley",BIRMINGHAM,203,203,173,99,74,92,7
"Wilson, Kenneth",BIRMINGHAM,334,334,270,179,91,167,12
"Zanaty, Edward S",BIRMINGHAM,231,231,175,154,21,148,6
"Carter, Constance D",BOSTON,159,384,137,64,73,49,15
"Carter, Paul S",BOSTON,119,318,101,50,51,43,7
"Driscoll, Daniel J",BOSTON,259,259,192,117,75,102,15
"Fulton, Stephen C",BOSTON,346,346,262,125,137,101,24
"Gardiner, Joel F",BOSTON,127,127,103,65,38,58,7
"Goodale, Paul W",BOSTON,125,341,105,51,54,43,8
"Hogan, Henry J",BOSTON,321,321,239,122,117,105,17
"Hurley, Francis",BOSTON,340,340,251,162,89,140,22
"Kelly, Robert J",BOSTON,340,340,279,204,75,191,13
"Klibaner, Alexander",BOSTON,25,25,24,19,5,14,5
"Packer, James H",BOSTON,341,341,272,180,92,145,35
"Ramsey, William",BOSTON,336,336,261,114,147,89,25
"Rodgers, Sujata",BOSTON,45,45,37,14,23,11,3
"Ross, William T",BOSTON,40,40,35,17,18,12,5
"Sax, Carol A",BOSTON,221,266,177,140,37,133,7
"Teehan, Sean",BOSTON,316,316,224,102,122,92,10
"Feuer, Elias",BRONX,240,240,166,64,102,49,15
"Gardner, Jeffrey",BRONX,179,179,110,53,57,43,10
"Green, Benjamin",BRONX,72,72,35,18,17,18,0
"Grossman, Seth I",BRONX,351,351,253,96,157,81,15
"Kanner, Brian G",BRONX,106,106,70,44,26,35,9
"Levine, Alexander G",BRONX,25,25,13,10,3,8,2
"Neugebauer, Lynn",BRONX,128,128,87,69,18,55,14
"Schiro, Kimberly L",BRONX,247,247,179,90,89,83,7
"Shire, Miriam L",BRONX,257,257,203,122,81,116,6
"Walsh, Sean P",BRONX,145,145,124,104,20,99,5
"Walters, Selwyn S",BRONX,167,167,110,81,29,74,7
"Weiss, Zachary S",BRONX,269,269,192,130,62,114,16
"Axelsen, Curtis",BROOKLYN,7,7,7,4,3,3,1
"Hein, Edward H",BROOKLYN,202,202,169,139,30,117,22
"Kearns, James",BROOKLYN,364,364,284,170,114,159,11
"McEneaney, Janet",BROOKLYN,47,125,23,14,9,13,1
"Michalec Olszewski, Lau",BROOKLYN,296,296,204,88,116,74,14
"Miller, Jason A",BROOKLYN,317,317,232,123,109,106,17
"Reeves, M.",BROOKLYN,342,342,247,200,47,181,19
"Romeo, Lori",BROOKLYN,145,207,113,65,48,52,13
"Stagno, Linda A",BROOKLYN,48,73,38,31,7,29,2
"Tobias, David",BROOKLYN,290,290,222,156,66,134,22
"Baird, Bryce",BUFFALO,97,152,75,43,32,41,2
"Cordovani, Stephen",BUFFALO,306,306,250,95,155,75,20
"Devlin, Michael W",BUFFALO,75,352,20,10,10,8,2
"Glazer, Eric L",BUFFALO,248,248,210,143,67,128,15
"Gohr, Lynette",BUFFALO,115,115,99,33,66,27,6
"Harrop Jr, Grenville W",BUFFALO,184,184,147,105,42,98,7
"Harvey, Robert T",BUFFALO,252,252,203,58,145,51,7
"Jones, Melissa L",BUFFALO,127,127,99,47,52,40,7
"Mazzarella, Bruce R",BUFFALO,70,70,62,32,30,30,2
"McGuan, Timothy M",BUFFALO,204,204,164,92,72,65,27
"Morgan, Aaron M",BUFFALO,2,4,2,1,1,1,0
"Moskal Jr, Stanley A",BUFFALO,211,211,175,155,20,142,13
"Seeley, Sharon",BUFFALO,259,259,229,96,133,60,36
"Smith, Susan G",BUFFALO,95,137,85,33,52,26,7
"Sochaczewsky, Mark",BUFFALO,3,3,2,1,1,1,0
"Weir, William M",BUFFALO,240,240,177,83,94,65,18
"Zahm, Marilyn D",BUFFALO,32,32,25,16,9,15,1
"Chase, Ethan A",CHARLESTON SC,343,361,269,164,105,154,10
"Christ, Marcus",CHARLESTON SC,412,412,322,172,150,160,12
"Forbes-Schmitt, Nicole S",CHARLESTON SC,349,349,275,148,127,138,10
"Georgian, Tammy",CHARLESTON SC,271,271,188,40,148,22,18
"Gudzan, Roseanne P",CHARLESTON SC,59,59,57,29,28,23,6
"Henderson, Thomas G",CHARLESTON SC,1,401,1,0,1,0,0
"LaFata, Richard",CHARLESTON SC,303,303,260,122,138,72,50
"McFadden-Elmore, Peggy",CHARLESTON SC,354,354,266,132,134,118,14
"Molleur, John T",CHARLESTON SC,100,274,68,33,35,31,2
"Morriss, Edward T",CHARLESTON SC,392,392,321,84,237,62,22
"Scott, James H",CHARLESTON SC,422,422,333,285,48,275,10
"Sweeda, Ronald",CHARLESTON SC,445,445,369,147,222,130,17
"Vogel, Richard L",CHARLESTON SC,203,203,155,81,74,79,2
"Watson, Carl B",CHARLESTON SC,396,396,321,155,166,145,10
"Bawolek, Valerie A",CHARLESTON WV,410,410,338,229,109,226,3
"Bowling, Robert B",CHARLESTON WV,3,283,3,1,2,1,0
"Buel, Sr., Toby J",CHARLESTON WV,393,393,315,150,165,139,11
"Carlos, Tierney",CHARLESTON WV,98,253,84,29,55,22,7
"Crislip, M D",CHARLESTON WV,37,37,31,24,7,21,3
"Dziepak, Anthony",CHARLESTON WV,100,289,91,52,39,42,10
"Fulcher, Eric S.",CHARLESTON WV,10,400,10,1,9,0,1
"Johnson, Jon K",CHARLESTON WV,291,291,216,173,43,172,1
"Molleur, John T",CHARLESTON WV,174,274,147,44,103,37,7
"Tilley, Sabrina M",CHARLESTON WV,291,291,224,105,119,82,23
"Egan, Robert",CHARLOTTE,199,199,162,116,46,110,6
"Foley, Kevin F",CHARLOTTE,256,256,210,129,81,106,23
"Frye, D. Randall",CHARLOTTE,227,227,179,113,66,106,7
"Hicks, Clinton C",CHARLOTTE,354,354,276,135,141,104,31
"Huggins, Randall D",CHARLOTTE,361,369,296,203,93,187,16
"Jacobson, Todd D",CHARLOTTE,362,362,279,164,115,159,5
"Jenkins, Theresa R.",CHARLOTTE,345,345,283,192,91,185,7
"McMillion, Benjamin R",CHARLOTTE,348,348,279,146,133,130,16
"Nathanson, Saul W",CHARLOTTE,125,125,104,82,22,77,5
"Poulos, Susan",CHARLOTTE,325,325,259,100,159,79,21
"Sims, Wendell M",CHARLOTTE,348,348,282,161,121,148,13
"Stefanelli, Valorie",CHARLOTTE,331,331,250,128,122,120,8
"Annos, Theodore W",CHARLOTTESVILLE,332,332,269,127,142,91,36
"Barto, William",CHARLOTTESVILLE,297,297,253,111,142,81,30
"Kilbane, Brian P",CHARLOTTESVILLE,321,321,242,64,178,50,14
"Mates, Marc",CHARLOTTESVILLE,287,287,233,99,134,86,13
"Munday, H.",CHARLOTTESVILLE,253,253,207,61,146,38,23
"O'Hara, Mark A",CHARLOTTESVILLE,154,154,135,24,111,15,9
"Owen, R. N",CHARLOTTESVILLE,299,299,264,141,123,135,6
"Peltzer, Mary C",CHARLOTTESVILLE,337,337,297,123,174,65,58
"Rippel, Brian B",CHARLOTTESVILLE,391,391,332,113,219,107,6
"Smith, Susan G",CHARLOTTESVILLE,42,137,31,16,15,10,6
"Bartlett, Jeannie S",CHATTANOOGA,398,398,325,146,179,128,18
"Benedict, Lauren",CHATTANOOGA,364,364,302,186,116,154,32
"Case, John E",CHATTANOOGA,401,401,352,269,83,239,30
"Deen, Jr., James E",CHATTANOOGA,237,237,198,140,58,131,9
"Feibus, Ronald J",CHATTANOOGA,293,293,246,116,130,103,13
"Glover, Kristen",CHATTANOOGA,61,126,48,23,25,19,4
"Gray, William O",CHATTANOOGA,351,351,290,169,121,164,5
"Jobe, Carey",CHATTANOOGA,383,383,328,189,139,180,9
"Kliner, Wesley R",CHATTANOOGA,405,405,320,165,155,128,37
"Luffman-Minor, Kristie",CHATTANOOGA,128,128,96,50,46,44,6
"Morehead, Suhirjahaan",CHATTANOOGA,124,124,99,44,55,35,9
"Soto, Eduardo",CHATTANOOGA,251,251,218,173,45,162,11
"Swan, Michael R",CHATTANOOGA,353,353,284,189,95,180,9
"Anglada, Jose",CHICAGO,386,386,317,177,140,143,34
"Bailey, Jr., B. Carlton",CHICAGO,2,2,2,0,2,0,0
"Barezky, Bonny S",CHICAGO,301,301,264,227,37,212,15
"Carey, Margaret",CHICAGO,296,296,244,99,145,46,53
"Garelick, Jordan",CHICAGO,162,162,133,59,74,47,12
"Harmon, Percival",CHICAGO,59,59,51,23,28,17,6
"Laskaris, Bill",CHICAGO,159,205,120,56,64,32,24
"Logan, Michael G",CHICAGO,264,264,227,135,92,107,28
"Mellman, Nathan",CHICAGO,112,112,98,30,68,17,13
"Nagle, Patrick",CHICAGO,10,10,7,2,5,1,1
"Plunkett, Kevin",CHICAGO,88,252,76,28,48,21,7
"Saame, Brian",CHICAGO,243,243,165,107,58,77,30
"Santiago, Melissa M",CHICAGO,333,344,293,139,154,115,24
"Skidmore, David",CHICAGO,254,254,193,103,90,90,13
"Suffi, Carla",CHICAGO,313,313,260,134,126,115,19
"Wardell, Laurie",CHICAGO,213,335,153,58,95,49,9
"Wascher, James D",CHICAGO,18,143,18,11,7,6,5
"Wenzel, William",CHICAGO,111,111,84,56,28,47,9
"Woltering, Luke",CHICAGO,122,122,110,70,40,44,26
"Boylan, Peter J",CINCINNATI,451,451,352,183,169,169,14
"Collins, Steven",CINCINNATI,5,256,0,0,0,0,0
"Detherage, Kevin J",CINCINNATI,331,331,254,118,136,96,22
"Flynn, Robert W",CINCINNATI,309,309,242,166,76,152,14
"Gollin, Andrew",CINCINNATI,329,329,263,135,128,112,23
"Jamison, Peter",CINCINNATI,335,335,287,210,77,189,21
"Kawalek, Matthew C",CINCINNATI,2,350,2,1,1,1,0
"King, Kristen",CINCINNATI,202,202,157,75,82,71,4
"Kinkade, Jana",CINCINNATI,99,287,75,48,27,43,5
"Nguyen, Thuy-Anh T",CINCINNATI,248,249,196,74,122,46,28
"Prince, John M",CINCINNATI,322,322,237,146,91,141,5
"Shaughnessy, Anne",CINCINNATI,354,354,284,160,124,144,16
"Thomas, Billy",CINCINNATI,280,280,222,136,86,102,34
"Tindale, Christopher S",CINCINNATI,230,230,181,95,86,64,31
"Andreas, Frederick",CLEVELAND,317,317,261,114,147,95,19
"Beekman, Peter",CLEVELAND,339,339,277,101,176,74,27
"Bronson, Peter R",CLEVELAND,178,178,149,99,50,77,22
"Canfield, Scott R",CLEVELAND,307,307,255,43,212,29,14
"Collins, Yelanda",CLEVELAND,25,329,22,9,13,8,1
"Eliot, Jonathan",CLEVELAND,267,267,213,63,150,46,17
"Giuffre, Susan G",CLEVELAND,291,291,226,41,185,26,15
"Hajjar, Joseph G",CLEVELAND,198,310,165,50,115,40,10
"Hixson, Traci M",CLEVELAND,299,299,249,127,122,75,52
"Kearney, Keith J",CLEVELAND,169,262,126,60,66,54,6
"Leland, William",CLEVELAND,392,392,336,111,225,91,20
"Loesel, Pamela E",CLEVELAND,286,286,227,95,132,83,12
"Loucas, Penny",CLEVELAND,196,196,143,40,103,32,8
"Ma, Catherine",CLEVELAND,161,184,140,37,103,28,9
"Martin, James M",CLEVELAND,4,316,4,1,3,1,0
"McClelland, Martin",CLEVELAND,185,185,132,36,96,25,11
"Rini, Cheryl M",CLEVELAND,101,101,74,41,33,37,4
"Roscoe, George D",CLEVELAND,195,195,147,60,87,54,6
"Rose, Joseph A",CLEVELAND,201,408,163,90,73,85,5
"Vallowe, Joseph",CLEVELAND,350,350,304,169,135,141,28
"Westley, Eric",CLEVELAND,336,336,286,132,154,100,32
"Beall, John A",COLORADO SPRINGS,106,106,50,37,13,36,1
"Boudreau, Debra",COLORADO SPRINGS,350,350,276,139,137,126,13
"Burgchardt, Kathryn D",COLORADO SPRINGS,351,351,278,119,159,79,40
"Denney, Debra J",COLORADO SPRINGS,2,326,0,0,0,0,0
"Fellabaum, Jennifer",COLORADO SPRINGS,37,37,30,19,11,15,4
"Kawalek, Matthew C",COLORADO SPRINGS,348,350,280,109,171,75,34
"Lo Burgio, Nicholas J",COLORADO SPRINGS,1,10,1,1,0,0,1
"Musseman, William",COLORADO SPRINGS,446,446,353,104,249,85,19
"Schuman, Kurt D",COLORADO SPRINGS,351,351,262,121,141,75,46
"Shaffer, Earl W",COLORADO SPRINGS,239,239,203,131,72,112,19
"Stallings, Stewart",COLORADO SPRINGS,215,215,167,101,66,91,10
"Bell, Stephan",COLUMBIA MO,352,352,294,166,128,137,29
"Boorady, Carol L",COLUMBIA MO,344,344,271,121,150,106,15
"Bowling, Robert B",COLUMBIA MO,1,283,0,0,0,0,0
"LeBlanc, Dennis",COLUMBIA MO,343,343,266,157,109,127,30
"Pico, Gerardo R",COLUMBIA MO,7,238,3,0,3,0,0
"Ruth, Vicky",COLUMBIA MO,268,268,199,114,85,83,31
"Souza, Raymond L",COLUMBIA MO,1,271,0,0,0,0,0
"Wingate Campbell, Kelli",COLUMBIA MO,357,357,281,120,161,90,30
"Chase, Ethan A",COLUMBIA SC,18,361,11,7,4,7,0
"Christian, Frederick W",COLUMBIA SC,88,88,81,46,35,43,3
"Conover, Arthur L",COLUMBIA SC,391,391,323,219,104,207,12
"Daly, Tracy",COLUMBIA SC,26,26,26,8,18,7,1
"Elkin, Paul",COLUMBIA SC,147,147,115,65,50,62,3
"Fleming, Ronald",COLUMBIA SC,386,386,322,152,170,149,3
"Foresman, Deborah",COLUMBIA SC,25,25,18,11,7,11,0
"Herin, Jr., Walter C",COLUMBIA SC,347,348,277,170,107,136,34
"Martin, John R",COLUMBIA SC,331,331,271,241,30,235,6
"Ryerse, Mary",COLUMBIA SC,130,130,101,79,22,72,7
"Taylor, William F",COLUMBIA SC,97,470,79,59,20,53,6
"Earnhart, Jason C",COLUMBUS,404,404,320,159,161,148,11
"Eppler, Rita S",COLUMBUS,57,57,30,5,25,4,1
"Flottman, Irma J",COLUMBUS,309,309,250,159,91,139,20
"Foley, K. Michael",COLUMBUS,97,97,85,46,39,44,2
"Gates, Timothy",COLUMBUS,42,167,36,21,15,21,0
"Giorgione, Edmund E",COLUMBUS,240,240,194,106,88,95,11
"Hartranft, Jeffrey",COLUMBUS,332,332,267,135,132,104,31
"Keller, Timothy G",COLUMBUS,283,283,187,76,111,73,3
"Lesperance, Jeannine",COLUMBUS,354,354,297,156,141,139,17
"McBarnette, Andrea",COLUMBUS,39,209,29,17,12,11,6
"Montgomery, John R",COLUMBUS,84,84,81,41,40,34,7
"Shailer, John L",COLUMBUS,205,205,193,165,28,114,51
"Southern, Noceeba",COLUMBUS,23,23,18,6,12,6,0
"Wang, Thomas L",COLUMBUS,404,404,346,128,218,109,19
"Wansker, Henry B",COLUMBUS,45,45,40,14,26,14,0
"Yerian, Paul E",COLUMBUS,270,270,214,100,114,71,29
"Alexander, Kyle C",COVINGTON GA,5,324,1,1,0,1,0
"Amos, B. T",COVINGTON GA,6,361,4,3,1,3,0
"Bedell, Laurie A",COVINGTON GA,63,395,55,28,27,23,5
"Bivins, Renita K",COVINGTON GA,248,248,183,30,153,16,14
"Davis, L. E",COVINGTON GA,363,363,299,188,111,178,10
"Donaldson, Angela",COVINGTON GA,3,128,0,0,0,0,0
"Glover, Kristen",COVINGTON GA,65,126,54,26,28,24,2
"Hart, Melinda K",COVINGTON GA,275,281,210,153,57,148,5
"McAdam, Paul",COVINGTON GA,369,369,271,184,87,170,14
"Perkerson, Edgar J",COVINGTON GA,269,269,202,120,82,110,10
"Washington, Calvin",COVINGTON GA,286,286,241,168,73,163,5
"Barber, Robin J",CREVE COEUR,338,338,243,109,134,100,9
"Burrichter, Michael D",CREVE COEUR,2,317,0,0,0,0,0
"Cosentino, Julian",CREVE COEUR,208,208,179,143,36,129,14
"DeWoskin, Henry",CREVE COEUR,21,21,13,5,8,5,0
"Farmer, Lyn",CREVE COEUR,7,169,7,7,0,7,0
"Hanan, Bradley",CREVE COEUR,345,345,247,182,65,170,12
"Hopkins, Richard",CREVE COEUR,282,282,209,133,76,107,26
"Imsland, Lori",CREVE COEUR,219,283,173,84,89,73,11
"Jewell, W. Gary",CREVE COEUR,241,241,201,168,33,152,16
"Key, Christal",CREVE COEUR,28,28,18,12,6,12,0
"Kumpe, William E",CREVE COEUR,380,380,305,240,65,227,13
"McDonald, Sheila E",CREVE COEUR,392,392,294,172,122,156,16
"O' Blennis, Robert G",CREVE COEUR,294,294,235,94,141,73,21
"Steitz, James K",CREVE COEUR,131,131,104,83,21,81,2
"Brounoff, J. M",DALLAS DOWNTOWN,337,337,272,174,98,156,18
