Judge,Office,Total Dispositions,Tot,Decisions,Awards,Denials,Fully Favorable,Partially Favorable
"Catanese, Louis M",JERSEY CITY,313,349,254,128,126,116,12
"Freeman, Bernadette",JERSEY CITY,21,21,11,8,3,8,0
"Hibner, Lisa",JERSEY CITY,13,13,7,6,1,6,0
"Loewy, Dina R",JERSEY CITY,283,283,201,77,124,52,25
"McEneaney, Janet",JERSEY CITY,78,125,58,34,24,31,3
"Miller, Hilton R",JERSEY CITY,399,399,326,173,153,124,49
"Russak, Jack",JERSEY CITY,366,366,286,149,137,120,29
"Suna, David",JERSEY CITY,104,104,80,48,32,44,4
"Walters, Sheila",JERSEY CITY,307,307,240,78,162,63,15
"Artuso, Barbara",JOHNSTOWN,275,275,229,137,92,124,13
"Ball, Gary",JOHNSTOWN,9,287,9,2,7,1,1
"Casher, Geoffrey S",JOHNSTOWN,1,482,1,0,1,0,0
"Fraser, John A",JOHNSTOWN,323,323,266,95,171,79,16
"Graffius, Donald M",JOHNSTOWN,359,359,305,133,172,118,15
"Krolikowski, Suzanne",JOHNSTOWN,29,104,25,14,11,14,0
"Neary, Lawrence J",JOHNSTOWN,27,385,25,8,17,7,1
"Pillion, Marty R",JOHNSTOWN,283,283,201,126,75,121,5
"Strother, Channing",JOHNSTOWN,12,105,8,3,5,3,0
"Zadzilko, Raymond J",JOHNSTOWN,333,333,283,229,54,208,21
"Barnes-Williams, Janice E",KANSAS CITY,278,278,217,68,149,61,7
"Bock, George M",KANSAS CITY,396,396,330,117,213,100,17
"Burrichter, Michael D",KANSAS CITY,298,317,234,90,144,85,5
"Cooke, Christine A",KANSAS CITY,336,336,258,147,111,117,30
"Erickson, Diana",KANSAS CITY,357,358,281,157,124,132,25
"Gulick, Scot",KANSAS CITY,252,287,178,61,117,51,10
"Johnson, Scott",KANSAS CITY,405,421,325,122,203,115,7
"Jung, P. H",KANSAS CITY,361,361,296,136,160,125,11
"Lehr, Michael A",KANSAS CITY,383,383,305,181,124,164,17
"McCarthy, Jack D",KANSAS CITY,271,271,215,127,88,105,22
"Mein, Christina Y",KANSAS CITY,362,362,293,103,190,92,11
"Meyr, Gerald",KANSAS CITY,115,115,96,54,42,43,11
"Naggi, Mark",KANSAS CITY,305,338,248,180,68,167,13
"Souza, Raymond L",KANSAS CITY,266,271,183,115,68,113,2
"Staples, Richard N",KANSAS CITY,388,388,304,121,183,118,3
"Davenport, Michael J",KINGSPORT,500,500,446,323,123,313,10
"Howard, Charles R",KINGSPORT,438,438,391,255,136,249,6
"McFadyen, John L",KINGSPORT,389,389,327,180,147,175,5
"Pilkey, Keith C",KINGSPORT,464,464,417,294,123,277,17
"Riley, Marshall D",KINGSPORT,392,392,357,258,99,251,7
"Schwartzberg, Sherman D",KINGSPORT,450,450,375,207,168,203,4
"White, Douglas G",KINGSPORT,346,346,306,255,51,252,3
"Barker, John R",KNOXVILLE,109,109,97,75,22,72,3
"Beeby, Jim",KNOXVILLE,450,450,381,195,186,168,27
"Bowling, Edward",KNOXVILLE,335,335,275,135,140,121,14
"Burke, J. Elaine",KNOXVILLE,3,130,0,0,0,0,0
"Dixon, James",KNOXVILLE,336,336,288,144,144,130,14
"Dowd, Mark",KNOXVILLE,349,356,294,157,137,95,62
"Evans, III, George L",KNOXVILLE,269,274,214,132,82,130,2
"Grissom, K. Dickson",KNOXVILLE,320,320,266,184,82,181,3
"Heaton, Juliana P",KNOXVILLE,345,345,295,222,73,209,13
"Lawrence, Joan A",KNOXVILLE,281,281,222,110,112,102,8
"Lefebvre, Donna",KNOXVILLE,430,430,359,231,128,216,15
"Richardson, Mary E",KNOXVILLE,307,307,265,144,121,138,6
"Siegel, Mark",KNOXVILLE,308,308,243,132,111,123,9
"Spangler, Todd",KNOXVILLE,315,315,261,138,123,125,13
"Wirth, Andrea L",KNOXVILLE,200,200,151,69,82,66,3
"Ambrose, Christopher",LANSING,393,393,327,206,121,196,10
"Blatnik, Lawrence E",LANSING,359,359,303,164,139,136,28
"English, Thomas L",LANSING,113,113,98,51,47,48,3
"Jones, Paul W",LANSING,346,346,267,98,169,94,4
"Kent, James J",LANSING,398,398,318,214,104,197,17
"Rosenberg, Amy L",LANSING,335,335,278,156,122,127,29
"Walters, Thomas L",LANSING,393,393,321,191,130,160,31
"Bennett, Norman L",LAS VEGAS,441,441,353,156,197,137,19
"Colpitts, Donald R",LAS VEGAS,288,288,219,161,58,144,17
"Cusker, John",LAS VEGAS,102,261,89,45,44,34,11
"Daniels, Christopher R",LAS VEGAS,392,392,318,161,157,144,17
"Gatto, David K",LAS VEGAS,392,392,318,135,183,115,20
"Hoover, Cynthia R",LAS VEGAS,413,413,330,92,238,67,25
"Jenkins, Barry H",LAS VEGAS,374,374,302,173,129,75,98
"Vanderhoof, Gary L",LAS VEGAS,37,460,29,18,11,16,2
"Baird, Jonathan P",LAWRENCE MA,406,406,345,236,109,202,34
"Belford, Timothy",LAWRENCE MA,339,339,262,145,117,115,30
"Benson, John",LAWRENCE MA,321,321,258,120,138,82,38
"Bush, Ellen P",LAWRENCE MA,339,339,283,131,152,95,36
"Curley, Brian",LAWRENCE MA,394,394,310,166,144,117,49
"Dziepak, Anthony",LAWRENCE MA,189,289,141,71,70,56,15
"Eklund, Eric",LAWRENCE MA,435,435,340,198,142,106,92
"Menard, Joshua",LAWRENCE MA,62,347,55,21,34,16,5
"Holsclaw, Greg",LEXINGTON,367,367,303,136,167,129,7
"Isaacs, Davida H",LEXINGTON,272,285,213,66,147,45,21
"Jackson, Karen R",LEXINGTON,364,364,315,134,181,128,6
"Kayser, Ronald M",LEXINGTON,274,274,260,51,209,37,14
"Kittinger, Bonnie",LEXINGTON,376,376,304,80,224,67,13
"Lowther, Sheila",LEXINGTON,389,389,309,218,91,210,8
"Paris, Don C",LEXINGTON,236,236,178,49,129,39,10
"Reynolds, Roger L",LEXINGTON,349,349,309,108,201,95,13
"Sheppard, Christopher C",LEXINGTON,319,319,259,99,160,90,9
"Stanley, Jonathan",LEXINGTON,396,396,338,158,180,143,15
"Varo, Gregory O",LEXINGTON,323,323,254,199,55,194,5
"YORK, GLORIA B",LEXINGTON,379,379,318,196,122,189,7
"Alexander, Kevin T",LITTLE ROCK,351,351,299,122,177,78,44
"Chaparro, Eliaser",LITTLE ROCK,446,446,396,226,170,184,42
"Curdie, Don",LITTLE ROCK,380,380,308,205,103,189,16
"Davis, Bradley L",LITTLE ROCK,351,351,297,82,215,72,10
"Ferguson, Mark",LITTLE ROCK,417,417,372,177,195,135,42
"Fowler, Wendell C",LITTLE ROCK,227,227,138,93,45,87,6
"Goree, John H",LITTLE ROCK,377,377,344,142,202,133,9
"Knowles, David L",LITTLE ROCK,340,340,276,145,131,133,12
"Manley, David J",LITTLE ROCK,255,255,211,82,129,76,6
"Marshall, Linda",LITTLE ROCK,447,447,392,236,156,225,11
"Schafer, Mark",LITTLE ROCK,375,375,289,107,182,84,23
"Shropshire, Toni",LITTLE ROCK,375,375,333,178,155,173,5
"Stripling, Clarence D",LITTLE ROCK,390,390,346,160,186,145,15
"Blair, B. L",LIVONIA MI,384,384,318,163,155,130,33
"Connolly, Mary S",LIVONIA MI,374,374,307,231,76,216,15
"D'Amato, Donald G",LIVONIA MI,408,408,339,217,122,204,13
"Dodson, John",LIVONIA MI,410,410,356,211,145,197,14
"Fernandez, Ramona L",LIVONIA MI,357,357,278,191,87,181,10
"Gasparovich, Martha M",LIVONIA MI,460,460,405,248,157,198,50
"MacLean, Patrick J",LIVONIA MI,340,340,281,175,106,140,35
"Mason, Jr., David A",LIVONIA MI,132,132,106,57,49,31,26
"Matulewicz, Dennis M",LIVONIA MI,441,441,382,274,108,253,21
"Perez, Jr., Henry",LIVONIA MI,358,358,297,150,147,135,15
"Sasena, Richard L",LIVONIA MI,342,342,277,182,95,157,25
"Smereka, Anthony R",LIVONIA MI,415,415,350,193,157,158,35
"Baum, Peter J",LONG BEACH,17,401,12,8,4,8,0
"Evans, Robert A",LONG BEACH,372,372,292,200,92,180,20
"Fletcher, Guy E",LONG BEACH,16,342,13,7,6,6,1
"Fow, Paula",LONG BEACH,2,202,0,0,0,0,0
"Gaffney, John",LONG BEACH,22,396,18,12,6,9,3
"Giannikas, John P",LONG BEACH,154,257,134,84,50,68,16
"Graham, Edward C",LONG BEACH,380,380,332,203,129,193,10
"Kerins, Jean R",LONG BEACH,15,116,14,8,6,7,1
"Lewald, Susanne",LONG BEACH,53,349,50,25,25,15,10
"Lisewski, Nancy",LONG BEACH,3,352,3,3,0,3,0
"Loo, Katherine",LONG BEACH,49,294,39,26,13,17,9
"Tobin, John C",LONG BEACH,242,242,188,138,50,129,9
"Zirlin, Peggy M",LONG BEACH,155,155,111,82,29,79,3
"Berkowitz, Alan B",LONG ISLAND,378,378,324,199,125,175,24
"Crawley, Brian J",LONG ISLAND,373,373,319,280,39,260,20
"Faraguna, Joseph R",LONG ISLAND,359,359,316,254,62,238,16
"Haber Lamkay, Jacquelin",LONG ISLAND,96,310,84,57,27,45,12
"Kilgannon, Patrick",LONG ISLAND,316,316,276,143,133,117,26
"MacDougall, Bruce",LONG ISLAND,1,1,0,0,0,0,0
"Waldman, Ronald L",LONG ISLAND,358,358,299,244,55,224,20
"Weiss, Andrew S",LONG ISLAND,368,368,301,201,100,190,11
"Wexler, April M",LONG ISLAND,371,371,300,171,129,156,15
"Agatstein, David J",LOS ANGELES DOWNTOWN,415,415,311,221,90,156,65
"Donsbach, Jan",LOS ANGELES DOWNTOWN,106,106,85,51,34,49,2
"Gunn, Evelyn M",LOS ANGELES DOWNTOWN,239,239,151,90,61,84,6
"Lowenstein, Robert E",LOS ANGELES DOWNTOWN,307,307,213,171,42,162,9
"Marcus, David G",LOS ANGELES DOWNTOWN,341,341,261,164,97,132,32
"Moser, James L",LOS ANGELES DOWNTOWN,436,436,330,258,72,253,5
"Weir III, Alexander",LOS ANGELES DOWNTOWN,541,541,377,198,179,187,11
"Breen, Richard T",LOS ANGELES WEST,339,339,264,70,194,52,18
"Delphey, James",LOS ANGELES WEST,277,277,209,71,138,57,14
"Dunn, Barbara",LOS ANGELES WEST,332,332,279,184,95,156,28
"Giannikas, John P",LOS ANGELES WEST,103,257,76,55,21,47,8
"Lishner, Elizabeth R",LOS ANGELES WEST,391,391,315,216,99,181,35
"Reason, Sally C",LOS ANGELES WEST,380,380,257,136,121,128,8
"Reich, Gail",LOS ANGELES WEST,385,385,300,198,102,188,10
"Rosenbluth, Robin",LOS ANGELES WEST,279,279,218,95,123,73,22
"Watson, Elizabeth",LOS ANGELES WEST,260,339,181,68,113,56,12
"Wheeler, Lawrence D",LOS ANGELES WEST,273,273,174,80,94,76,4
"Collins, Steven",LOUISVILLE,251,256,210,78,132,65,13
"Kimberlin III, Patrick B",LOUISVILLE,307,307,234,142,92,119,23
"Mather, Roland D",LOUISVILLE,63,63,49,34,15,27,7
"McDaniel, Candace A",LOUISVILLE,363,363,285,160,125,123,37
"Morgan, Kerry",LOUISVILLE,1,369,1,1,0,1,0
"Nichols, Michael J",LOUISVILLE,90,90,83,36,47,35,1
"Price, John R",LOUISVILLE,514,514,415,241,174,218,23
"Traver, Daniel A",LOUISVILLE,399,399,314,234,80,227,7
"Wilkerson, Dwight D",LOUISVILLE,295,295,225,122,103,118,4
"Zuber, William C.",LOUISVILLE,397,397,327,179,148,168,11
"Callahan, W. S",MACON,158,158,131,46,85,27,19
"Cornelius, David",MACON,323,323,259,182,77,172,10
"Howard, Emily Y",MACON,325,325,277,83,194,71,12
"Levinson, Michael L",MACON,260,263,209,121,88,94,27
"Lewis, Russell W",MACON,236,236,206,103,103,67,36
"Moore, Carol G",MACON,208,208,169,71,98,65,6
"Oetter, Cam",MACON,245,245,202,77,125,51,26
"Storey, Peter B",MACON,125,125,112,81,31,76,5
"Thompson, Stephen",MACON,148,148,124,74,50,63,11
"Uren, Amy",MACON,209,209,139,76,63,61,15
"Jacobson, Joseph D",MADISON,322,322,252,174,78,145,29
"Martin, John",MADISON,140,140,107,60,47,46,14
"Meachum, Debra",MADISON,300,300,237,183,54,156,27
"Pleuss, John H",MADISON,257,257,184,101,83,87,14
"Schaefer, Michael",MADISON,252,252,212,138,74,118,20
"Springer, Thomas W",MADISON,342,342,283,180,103,135,45
"D'Alessandro, James J",MANCHESTER,369,369,283,219,64,193,26
"Groeneveld-Meijer, Lisa",MANCHESTER,351,351,262,165,97,145,20
"Levin, Matthew G",MANCHESTER,431,431,327,139,188,117,22
"Menard, Joshua",MANCHESTER,285,347,207,92,115,78,14
"Merrill, Thomas",MANCHESTER,325,325,200,61,139,55,6
"Sutker, Dory",MANCHESTER,302,302,222,149,73,138,11
"Tafe, Elizabeth M",MANCHESTER,243,243,163,102,61,83,19
"del Valle, Manuel",MAYAGUEZ,99,465,0,0,0,0,0
"Glanville, Harold",MAYAGUEZ,195,635,0,0,0,0,0
"Bentley, James",MCALESTER,391,391,325,146,179,133,13
"Dexter, Deirdre O",MCALESTER,374,374,301,167,134,141,26
"Gabbard, II, Doug",MCALESTER,392,392,309,117,192,94,23
"Linehan, James",MCALESTER,419,419,325,160,165,145,15
"Wheeler, Thomas J",MCALESTER,47,265,34,12,22,12,0
"Creson, Larry B",MEMPHIS,300,300,235,189,46,178,11
"Graves, Carmen",MEMPHIS,182,182,130,54,76,51,3
"Hodum, Robert",MEMPHIS,416,416,304,139,165,124,15
"Ingram, William R",MEMPHIS,401,401,322,157,165,153,4
"Jenkins III, George W",MEMPHIS,397,397,308,233,75,201,32
"Lang, Jerry M",MEMPHIS,448,448,330,171,159,139,32
"Mills, Jennifer",MEMPHIS,385,385,309,232,77,213,19
"Peebles, John A",MEMPHIS,450,450,359,174,185,150,24
"Pietrangelo, Angele",MEMPHIS,2,361,2,2,0,2,0
"Stimson, Paul M",MEMPHIS,433,433,340,190,150,164,26
"Taylor, William F",MEMPHIS,3,470,3,3,0,3,0
"Deans, Joan H",METAIRIE,369,369,309,135,174,118,17
"Exnicios, Richard M",METAIRIE,22,22,14,3,11,3,0
"Hertzig, Michael S",METAIRIE,385,385,267,128,139,117,11
"Juge, Christopher H",METAIRIE,420,420,334,191,143,175,16
"Lobo, Benita A",METAIRIE,386,386,320,150,170,114,36
"Morgan, Jeffery D",METAIRIE,19,19,11,3,8,3,0
"Perez, Gerardo",METAIRIE,262,262,217,76,141,62,14
"Stewart, Timothy G",METAIRIE,299,299,233,96,137,79,17
"Wiedemann, Karen",METAIRIE,373,373,314,153,161,125,28
"Aranda, Clara H",MIAMI,25,25,7,7,0,6,1
"Baker Jr, Robert",MIAMI,46,46,31,24,7,23,1
"Bowman-Davis, Salena D",MIAMI,440,440,353,252,101,229,23
"Gordon, Tamia N",MIAMI,218,223,166,110,56,101,9
"Kupersmith, Linda E",MIAMI,66,66,61,26,35,22,4
"Leibowitz, Tracey B",MIAMI,153,375,119,59,60,56,3
"Levinson, Michael L",MIAMI,3,263,3,0,3,0,0
"Maher, Timothy",MIAMI,131,131,89,70,19,66,4
"Palacios, Elizabeth C",MIAMI,59,126,35,17,18,17,0
"Pennock, Carol J",MIAMI,232,232,183,121,62,100,21
"Pietrangelo, Angele",MIAMI,1,361,1,1,0,1,0
"Reynolds, Lornette",MIAMI,329,329,251,129,122,93,36
"Sax, Carol A",MIAMI,41,266,37,31,6,28,3
"Shimer, Scott C",MIAMI,1,371,1,0,1,0,0
"Snook, Thomas W",MIAMI,166,166,142,117,25,109,8
"Taylor, William F",MIAMI,59,470,39,30,9,26,4
"Tews, Scott A",MIAMI,347,347,273,186,87,171,15
"Ballengee, Ben",MIDDLESBORO,240,255,209,99,110,97,2
"Burke, J. Elaine",MIDDLESBORO,127,130,108,64,44,61,3
"Hansen, Dennis",MIDDLESBORO,440,440,375,179,196,175,4
"Leiner, Jonathan H",MIDDLESBORO,227,304,199,91,108,82,9
"Mangus, Tommye C",MIDDLESBORO,333,333,275,117,158,109,8
"Panter, Marjorie",MIDDLESBORO,3,313,2,2,0,2,0
"Rising, Donald A",MIDDLESBORO,218,218,186,93,93,91,2
"Sprague, Jonathan",MIDDLESBORO,144,349,129,57,72,54,3
"Allen, Michelle I",MILWAUKEE,29,177,26,16,10,15,1
"Bartelt, Jr., Robert L",MILWAUKEE,119,119,104,35,69,23,12
"Bedwell, Brent C",MILWAUKEE,350,350,275,133,142,101,32
"Gauthier, Jeffry",MILWAUKEE,302,302,222,76,146,62,14
"Halligan, Patrick D",MILWAUKEE,55,55,44,16,28,0,16
"Malloy, Timothy J",MILWAUKEE,341,341,281,107,174,94,13
"Messina, Christopher",MILWAUKEE,352,352,263,158,105,146,12
"Morrison, Patrick H",MILWAUKEE,218,250,177,64,113,53,11
"O'Grady, Margaret J",MILWAUKEE,314,314,239,115,124,81,34
"Plunkett, Kevin",MILWAUKEE,2,252,2,2,0,2,0
"Ritter, Wayne L",MILWAUKEE,245,245,178,60,118,44,16
"Shenkenberg, William",MILWAUKEE,164,175,123,58,65,46,12
"Toal, Patrick J",MILWAUKEE,237,237,165,109,56,98,11
"Vodak, Kevin",MILWAUKEE,304,304,250,125,125,108,17
"Ayling, Corey",MINNEAPOLIS,20,20,10,7,3,5,2
"Brown, William G",MINNEAPOLIS,553,553,465,304,161,268,36
"Hart, Jeffrey W",MINNEAPOLIS,387,387,329,224,105,201,23
"Kimball, Peter",MINNEAPOLIS,412,413,346,179,167,160,19
"Kuhn, Virginia",MINNEAPOLIS,357,357,288,137,151,129,8
"Kunz, Mary M",MINNEAPOLIS,342,342,257,118,139,99,19
"Pharris, Micah",MINNEAPOLIS,365,365,299,137,162,124,13
"Quayle, Michael D",MINNEAPOLIS,413,413,354,205,149,186,19
"Thomas, Roger W",MINNEAPOLIS,476,476,411,140,271,105,35
"Thorbjornsen, Charles J",MINNEAPOLIS,222,265,187,109,78,102,7
"Thrasher, Richard",MINNEAPOLIS,206,206,159,95,64,88,7
"Washington, David B",MINNEAPOLIS,509,509,440,304,136,284,20
"Barter, James F",MOBILE,320,320,257,130,127,101,29
"Evans, Vickie",MOBILE,234,234,190,113,77,105,8
"Guice, Tracy S",MOBILE,361,361,280,166,114,159,7
"Hammond Jr., Warren L",MOBILE,394,394,323,227,96,220,7
"McCaghren, Marni R",MOBILE,301,301,243,156,87,143,13
"McClain-Leazure, Kim",MOBILE,281,281,222,166,56,163,3
"Michel, Alan E",MOBILE,358,358,274,185,89,180,5
"Murchison, David R",MOBILE,415,415,338,234,104,226,8
"Muth II, Thomas M",MOBILE,240,240,188,113,75,106,7
"Nelson, Roger A",MOBILE,303,303,237,173,64,165,8
"Pierce, Katie H",MOBILE,360,360,296,169,127,161,8
"Pischek, L. D",MOBILE,301,301,242,99,143,84,15
"Reams, Paul",MOBILE,353,353,273,143,130,119,24
"Robinson, Laura",MOBILE,366,366,294,179,115,165,14
"Sheely, Ben E",MOBILE,319,319,246,176,70,173,3
"Stalley, D. B",MOBILE,312,312,265,193,72,175,18
"Waller, Robert",MOBILE,293,293,221,123,98,104,19
"Anderson, Michael D",MONTGOMERY,409,409,343,245,98,241,4
"Barnett-Jefferson, Reni F",MONTGOMERY,381,381,306,144,162,113,31
"Helmer, Mary E",MONTGOMERY,426,445,348,208,140,204,4
"Intoccia, Vincent P",MONTGOMERY,480,480,401,286,115,232,54
"Johnson, Paul W",MONTGOMERY,376,376,301,218,83,213,5
"Klinger, Frank M",MONTGOMERY,365,365,266,181,85,164,17
"Kusznir, Maria N",MONTGOMERY,334,334,277,190,87,154,36
"Langland, John B",MONTGOMERY,411,411,347,170,177,164,6
"Lassiter, Jr., Walter V",MONTGOMERY,327,327,242,52,190,47,5
"Naylor, Amy H",MONTGOMERY,106,171,72,63,9,60,3
"South, Ricky V",MONTGOMERY,418,418,316,200,116,198,2
"Strong, Claire R",MONTGOMERY,334,334,280,187,93,160,27
"Thigpen, Charles A",MONTGOMERY,430,430,335,255,80,242,13
"Ball, Kenneth E",MORENO VALLEY CA,196,196,138,49,89,27,22
"Baum, Peter J",MORENO VALLEY CA,4,401,3,3,0,3,0
"Ginsberg, Lynn",MORENO VALLEY CA,325,325,273,142,131,119,23
"Kirby, Marti",MORENO VALLEY CA,306,306,263,174,89,118,56
"Markiewicz, Alan J",MORENO VALLEY CA,4,341,1,1,0,0,1
"McDonald, Dana E",MORENO VALLEY CA,300,300,257,148,109,118,30
"Richardson, Michael B",MORENO VALLEY CA,256,256,200,106,94,87,19
"Schloss, Joseph D",MORENO VALLEY CA,328,328,265,107,158,93,14
"Turner-Jones, Tamara",MORENO VALLEY CA,1,1,1,1,0,1,0
"Verne, Andrew",MORENO VALLEY CA,364,364,302,127,175,100,27
"Young, Duane D",MORENO VALLEY CA,83,168,73,50,23,43,7
"Alexander, Karl",MORGANTOWN,210,210,157,69,88,67,2
"Carpenter, Regina",MORGANTOWN,341,341,294,167,127,126,41
"Hall, Nikki",MORGANTOWN,242,242,176,58,118,38,20
"Kostol, Karen B",MORGANTOWN,275,275,214,116,98,98,18
"La Vicka, Jeffrey P",MORGANTOWN,322,322,257,114,143,103,11
"Mills III, George A",MORGANTOWN,269,269,211,70,141,63,7
"Anzalone, Mara-Louise",MT PLEASANT MI,122,122,115,67,48,60,7
"Baird, Bryce",MT PLEASANT MI,55,152,43,19,24,15,4
"Chess, Laura",MT PLEASANT MI,341,341,288,174,114,134,40
"Ebner, Elizabeth",MT PLEASANT MI,48,68,34,20,14,8,12
"Eiler, Kathleen H",MT PLEASANT MI,2,188,2,0,2,0,0
"Garves, Brian",MT PLEASANT MI,281,281,226,117,109,92,25
"Hurt, Patricia E",MT PLEASANT MI,63,196,45,18,27,16,2
"Isaacs, Davida H",MT PLEASANT MI,13,285,11,1,10,1,0
"Kim, Mark",MT PLEASANT MI,3,246,3,1,2,1,0
"Kleber, Kendra S",MT PLEASANT MI,309,309,244,128,116,117,11
"Marchioro, Stephen",MT PLEASANT MI,210,310,183,67,116,48,19
"Neely, Donald K",MT PLEASANT MI,34,337,33,15,18,14,1
"Nguyen, Manh H",MT PLEASANT MI,409,409,351,186,165,169,17
"O'Leary, JoErin",MT PLEASANT MI,321,321,271,169,102,143,26
"Shenkenberg, William",MT PLEASANT MI,11,175,7,4,3,4,0
"Zimmerman, Sarah",MT PLEASANT MI,13,13,11,7,4,5,2
"Andrews - Turner, Renee S",NASHVILLE,356,360,294,190,104,144,46
"Dougherty, Brian",NASHVILLE,318,318,269,136,133,114,22
"Ettinger, David A",NASHVILLE,399,399,340,205,135,173,32
"Gregori, Frank L",NASHVILLE,318,318,249,136,113,133,3
"Neuhoff, Elizabeth P",NASHVILLE,171,349,135,54,81,43,11
"Pietrangelo, Angele",NASHVILLE,358,361,309,145,164,127,18
"Shimer, Scott C",NASHVILLE,370,371,303,156,147,143,13
"Smith Jr, Alfred M",NASHVILLE,372,372,316,193,123,169,24
"Taylor, William F",NASHVILLE,59,470,47,39,8,36,3
"Thompson, Michelle",NASHVILLE,371,390,299,196,103,185,11
"Williams, H. S",NASHVILLE,266,266,229,172,57,168,4
"Boyd, Eskunder",NEW HAVEN,306,306,256,140,116,98,42
"DiBiccaro, Robert A",NEW HAVEN,291,291,250,137,113,112,25
"Harrington, I. K",NEW HAVEN,261,261,201,104,97,75,29
"Horton, Deirdre R",NEW HAVEN,304,304,255,120,135,85,35
"Kuperstein, Matthew",NEW HAVEN,277,277,217,120,97,95,25
"Thomas, Ronald J",NEW HAVEN,302,302,238,96,142,80,16
"Anzalone, Kerry J",NEW ORLEANS,342,342,265,216,49,195,21
"Burgess, John R",NEW ORLEANS,316,316,218,163,55,156,7
"Donaldson, Angela",NEW ORLEANS,125,128,96,64,32,51,13
"Gattuso, Mary",NEW ORLEANS,307,307,241,136,105,109,27
"Henderson, Thomas G",NEW ORLEANS,400,401,330,122,208,109,13
"Hilleren, Christine",NEW ORLEANS,228,228,168,57,111,49,8
"Pizzo, Nancy M",NEW ORLEANS,374,374,286,173,113,151,22
"Voisin, Glynn F",NEW ORLEANS,432,432,343,259,84,244,15
"Volz, III, Louis J",NEW ORLEANS,556,556,452,277,175,248,29
"White, Charlotte N",NEW ORLEANS,266,266,190,145,45,129,16
"Dorf, Robert C",NEW YORK,199,199,146,96,50,84,12
"Friedman, Michael",NEW YORK,167,167,145,51,94,42,9
"Grabeel, Thomas",NEW YORK,411,411,319,246,73,229,17
"Hecht, Mark",NEW YORK,379,379,305,172,133,128,44
"Penalver, Moises",NEW YORK,279,279,201,152,49,125,27
"Pizzuto, Marissa A",NEW YORK,319,319,244,176,68,158,18
"Reich, Gitel",NEW YORK,354,354,269,161,108,118,43
"Romeo, Lori",NEW YORK,62,207,48,28,20,19,9
"Sedaca, Joani",NEW YORK,292,292,221,174,47,136,38
"Solomon, Mark",NEW YORK,431,431,322,133,189,92,41
"Stagno, Linda A",NEW YORK,25,73,23,18,5,16,2
"Tannenbaum, Wallace",NEW YORK,364,364,275,161,114,136,25
"Vecchio, Lucian A",NEW YORK,329,329,260,189,71,179,10
